Jugador,Edad,Convocados,Partidos_Jugados,Partidos_Titular,Minutos,Goles,Amarillas,Rojas,Equipo,Posicion,Pct_Titularidad,Minutos_por_Partido,Partidos_90,Goles_p90,Amarillas_p90,Rojas_p90,Tarjetas_p90,Pct_Participacion,Pct_Titularidad_Real,Minutos_por_Convocatoria,Tarjetas_Totales,Disciplina,Impacto_Ofensivo,Confianza_CT,Jugador_Problema,Posicion_Limpia,Peso_Equipo,Rank_Impacto_Ofensivo,Rank_Confianza_CT,Rank_Pct_Titularidad_Real,Rank_Disciplina,Rank_Peso_Equipo
Fernando Codevila Brava,24.0,13,13,13,989,0.0,5,0,Catral Castrum Cf,Defensa,1.0,76.07692307692308,10.988888888888889,0.0,0.455005055611729,0.0,0.455005055611729,1.0,1.0,76.07692307692308,5,0.005055611729019211,0.0,76.07692307692308,False,Defensa,1.0,151.0,81.0,1.0,128.0,1.0
Gustavo Nath Murcia,,10,8,2,260,0.0,1,0,Catral Castrum Cf,Defensa,0.25,32.5,2.888888888888889,0.0,0.34615384615384615,0.0,0.34615384615384615,0.8,0.2,26.0,1,0.0038461538461538464,0.0,32.5,False,Defensa,0.56,151.0,275.0,57.0,170.0,102.0
Raúl Ballesta Aleo,23.0,14,14,13,1081,0.0,1,1,Catral Castrum Cf,Lateral Izquierdo,0.9285714285714286,77.21428571428571,12.011111111111111,0.0,0.08325624421831637,0.08325624421831637,0.24976873265494912,1.0,0.9285714285714286,77.21428571428571,3,0.0027752081406105457,0.0,77.21428571428571,False,Defensa,0.9714285714285714,151.0,75.0,4.0,200.0,3.0
Rives García,22.0,7,7,2,277,0.0,0,0,Catral Castrum Cf,Defensa,0.2857142857142857,39.57142857142857,3.077777777777778,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,39.57142857142857,0,0.0,0.0,39.57142857142857,False,Defensa,0.7142857142857143,151.0,251.0,52.0,280.0,70.0
Sergio Fernández Alfonso,22.0,10,10,10,785,0.0,1,1,Catral Castrum Cf,Defensa,1.0,78.5,8.722222222222221,0.0,0.11464968152866244,0.11464968152866244,0.3439490445859873,1.0,1.0,78.5,3,0.003821656050955414,0.0,78.5,False,Defensa,1.0,151.0,69.0,1.0,171.0,1.0
Xavi Guilabert Martínez,22.0,13,12,12,1036,1.0,5,0,Catral Castrum Cf,Central,1.0,86.33333333333333,11.511111111111111,0.08687258687258688,0.4343629343629344,0.0,0.4343629343629344,0.9230769230769231,0.9230769230769231,79.6923076923077,5,0.004826254826254826,0.6031670058433867,86.33333333333333,False,Central,0.9230769230769231,136.0,18.0,5.0,136.0,16.0
Alejandro Ruiz Maestre,26.0,14,13,4,357,1.0,5,0,Catral Castrum Cf,Medio Centro,0.3076923076923077,27.46153846153846,3.966666666666667,0.25210084033613445,1.2605042016806722,0.0,1.2605042016806722,0.9285714285714286,0.2857142857142857,25.5,5,0.014005602240896359,1.481782129860413,27.46153846153846,True,Medio Centro,0.6714285714285715,81.0,286.0,52.0,21.0,81.0
Andrés Gómez Soler,23.0,14,14,14,1101,2.0,2,0,Catral Castrum Cf,Medio Centro,1.0,78.64285714285714,12.233333333333333,0.16348773841961853,0.16348773841961853,0.0,0.16348773841961853,1.0,1.0,78.64285714285714,2,0.0018165304268846503,1.145063891562291,78.64285714285714,False,Medio Centro,1.0,95.0,67.0,1.0,239.0,1.0
Cristian Martínez Ruiz,21.0,13,12,10,805,1.0,0,1,Catral Castrum Cf,Centrocampista,0.8333333333333334,67.08333333333333,8.944444444444445,0.11180124223602485,0.0,0.11180124223602485,0.2236024844720497,0.9230769230769231,0.7692307692307693,61.92307692307692,2,0.002484472049689441,0.748044478220709,67.08333333333333,False,Centrocampista,0.8615384615384616,122.0,136.0,20.0,212.0,33.0
Javier García Tremiño,24.0,15,15,4,473,0.0,0,0,Catral Castrum Cf,Medio Centro,0.26666666666666666,31.533333333333335,5.2555555555555555,0.0,0.0,0.0,0.0,1.0,0.26666666666666666,31.533333333333335,0,0.0,0.0,31.533333333333335,False,Medio Centro,0.7066666666666667,151.0,277.0,54.0,280.0,73.0
Jorge Esquiva García,25.0,13,13,11,964,1.0,3,1,Catral Castrum Cf,Mediocentro Ofensivo,0.8461538461538461,74.15384615384616,10.71111111111111,0.09336099585062241,0.2800829875518672,0.09336099585062241,0.46680497925311204,1.0,0.8461538461538461,74.15384615384616,5,0.005186721991701245,0.641491925845383,74.15384615384616,False,Mediocentro Ofensivo,0.9384615384615385,131.0,87.0,13.0,126.0,11.0
